Estudiante,Tarea,Tipología textual,Tema,Edad,Sexo,País,L1,Estudios,Edad de inicio en el estudio del español,Número de meses estudiando español,Contactos personales en países de habla española,Contexto a la izquierda,Elemento gramatical 1,Etiqueta 1,Lema 1,Palabra ortográfica 1,Información adicional 1,Contexto a la derecha
774,2154,Correo electrónico,Cambio trabajo,22,Mujer,Francia,Francés,Otros,22,4,No,No me gusta ,ir,VMNP,ir,,,a el cine pero me gusta ir de copas con mis amigas los fines de semana . 
1239,3493,Correo electrónico,Cambio trabajo,58,Hombre,Francia,Francés,Universidad,58,3,No,"Me gustan tambien deportes , leer libros y salir con amigos para cenar o ",ir,VMNP,ir,,,a el teatro . 
1974,5564,Correo electrónico,Familia,45,Hombre,Francia,Francés,Secundaria,45,0,No,"Le encanta hacer pinturo , ",ir,VMNP,ir,,,"a el museo , cine y teatro .... todos los actividades culturales . "
776,2160,Correo electrónico,Cambio trabajo,65,Mujer,Francia,Francés,Otros,64,8,No,Cuando estoy en mi ciudad me gusta mucho ,ir,VMNP,ir,,,"a el cine , a el opera o ver exposiciones . "
2002,5639,Correo electrónico,Cambio trabajo,64,Hombre,Francia,Francés,Otros,63,8,No,"amigo pare hacer algunos ejercicios de musculación o montar en bicicleta , salir con amigos para tomar unas cervezas , ",ir,VMNP,ir,,,"a el cine , ir a el campo , ver la telévision , conectar se a el messenger . "
2002,5639,Correo electrónico,Cambio trabajo,64,Hombre,Francia,Francés,Otros,63,8,No,"gusto escuchar música , leer libros , pasear por el parque , hacer deporte : jugar a el tennis , ",ir,VMNP,ir,,,"a el gimnasio con un amigo pare hacer algunos ejercicios de musculación o montar en bicicleta , salir con amigos "
380,1053,Nota/aviso,Nota llegar tarde,37,Mujer,Francia,Francés,Universidad,5,3,Amigos,Lo siento no puedo volver a casa pronto es que tengo billetes para ,ir,VMNP,ir,,,a el concierto de David_Bowie . 
779,2169,Correo electrónico,Cambio trabajo,52,Mujer,Francia,Francés,Otros,1,8,No,"Por la tarde , puedo hacer muchos diferentes actividades en mi ciudad : hay bonitos restaurantes , sympaticos bares para ",ir,VMNP,ir,,,"de copas con los amigos ; a_veces voy a escuchar musica o a el cine , y me gusta tambien "
775,2158,Nota/aviso,Nota llegar tarde,27,Mujer,Francia,Francés,Otros,20,6,Amigos,Voy ,ir,VMNP,ir,,,"de copas y bailar salsa com Laure , David , Valerie y Arnao "
781,2177,Correo electrónico,Familia,36,Mujer,Francia,Francés,Otros,14,36,No,"En fin de semana , nos gusta ir a el campo en Baujolais o ",ir,VMNP,ir,,,a la montaña circa de Lyon . 
