"Source","Estudiante","Tarea","Tipología textual","Tema","Edad","Sexo","País","L1","Estudios","Edad de inicio en el estudio del español","Número de meses estudiando español","Contactos personales en países de habla española","Contexto a la izquierda","Elemento gramatical 1","Etiqueta 1","Lema 1","Palabra ortográfica 1","Información adicional 1","Contexto a la derecha"
"IRENG.xlsx","1681","4772","Nota/aviso","Nota llegar tarde",63,"Hombre","Estados Unidos","Inglés","Universidad",63,6,"Amigos&Familiares","Mi hefe me pide","ir","VMNP","ir",NA,NA,"a una renunion ."
"IRENG.xlsx","201","552","Correo electrónico","Cambio trabajo",32,"Mujer","Francia","Inglés","Primaria",1,1,"No","A mi me gusta","ir","VMNP","ir",NA,NA,"a el cafe , a el restaurante , a el cine o a el teatro com mi marrido y mis"
"IRENG.xlsx","55","148","Correo electrónico","Cambio trabajo",52,"Mujer","Irlanda","Inglés","Otros",52,5,"Otros","Fiona tiene 18 años y espera","ir","VMNP","ir",NA,NA,"a el Universidad en el año proximo ."
"IRENG.xlsx","1622","4601","Nota/aviso","Nota llegar tarde",15,"Hombre","Estados Unidos","Inglés","Primaria",54,5,"Amigos","Llego tarde a casa esta noche por qué tengo mucha tarea y necesito","ir","VMNP","ir",NA,NA,"a el biblioteca ."
"IRENG.xlsx","101","275","Nota/aviso","Nota llegar tarde",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Entonces vamos","ir","VMNP","ir",NA,NA,"a el bar para hablar politico con el gobiernor ."
"IRENG.xlsx","1630","4619","Correo electrónico","Cambio trabajo",23,"Hombre","Australia","Inglés","Universidad",1,9,"Amigos","Me gusta","ir","VMNP","ir",NA,NA,"a la playa , jugar el futbol , y bebo y bailar con mis amigos en fin de semana ."
"IRENG.xlsx","53","142","Correo electrónico","Cambio trabajo",57,"Hombre","Irlanda","Inglés","Otros",54,12,"No","Vivo cerca de el centro de Dublin y me gusta","ir","VMNP","ir",NA,NA,"a las bares , cines y restaurantes ."
"IRENG.xlsx","1333","3775","Nota/aviso","Nota llegar tarde",25,"Mujer","China","Inglés","Universidad",24,5,"Otros","Tengo que","ir","VMNP","ir",NA,NA,"a el hospital ahora , por que me duele mucho el cabeza ."
"IRENG.xlsx","59","161","Nota/aviso","Nota llegar tarde",50,"Hombre","Irlanda","Inglés","Otros",49,12,"No","Yo tengo que","ir","VMNP","ir",NA,NA,"a el cine con mi novia ."
"IRENG.xlsx","101","275","Nota/aviso","Nota llegar tarde",49,"Hombre","Irlanda","Inglés","Primaria",13,12,"No","Esta noche hablamos sobre religio y politico ,","ir","VINP","ir",NA,NA,"a dormir , porque hablamos mucho ."
